time_of_day,day_of_week,weather,ors_time,congestion_index,actual_travel_time,distance_km,congestion_index
Night,Thursday,Clear,19.03,0.93,17.78,4.12,1.0
Midday,Friday,Stormy,42.38,1.03,67.93,22.81,0.73
Morning Peak,Friday,Rainy,16.82,1.66,32.19,30.94,0.29
Night,Sunday,Clear,39.47,1.09,43.05,29.55,0.49
Evening Peak,Saturday,Rainy,38.39,1.43,64.26,6.61,0.97
Midday,Monday,Rainy,58.55,1.07,76.88,18.14,0.19
Night,Wednesday,Clear,54.17,1.05,57.04,28.29,0.81
Morning Peak,Saturday,Rainy,57.28,1.73,108.8,26.57,0.52
Evening Peak,Tuesday,Clear,15.68,1.49,23.41,49.26,0.33
Midday,Wednesday,Cloudy,53.41,1.18,63.26,30.43,0.78
Midday,Sunday,Stormy,16.45,1.26,29.9,44.04,0.81
Night,Friday,Rainy,41.65,0.85,45.22,40.67,0.89
Evening Peak,Saturday,Clear,46.0,1.57,72.35,15.47,0.76
Evening Peak,Thursday,Clear,18.04,1.58,28.49,26.2,0.89
Evening Peak,Tuesday,Cloudy,41.63,1.55,64.48,16.9,0.93
Evening Peak,Saturday,Rainy,12.62,1.3,20.29,50.79,0.9
Morning Peak,Sunday,Cloudy,24.66,1.73,42.65,23.66,0.98
Evening Peak,Monday,Stormy,56.06,1.4,111.08,32.24,0.4
Midday,Tuesday,Rainy,18.59,1.18,26.99,31.68,0.95
Midday,Sunday,Clear,13.26,1.25,16.61,27.13,0.82
Morning Peak,Saturday,Clear,32.18,1.31,42.32,3.73,1.0
Midday,Monday,Clear,52.53,1.11,58.25,18.41,0.77
Midday,Tuesday,Cloudy,13.83,1.24,17.22,5.14,0.74
Evening Peak,Monday,Cloudy,27.78,1.53,42.38,22.94,0.84
Midday,Monday,Cloudy,54.99,1.25,68.99,20.97,0.83
Morning Peak,Tuesday,Clear,15.91,1.38,22.03,37.93,0.87
Evening Peak,Tuesday,Clear,25.53,1.48,37.85,24.64,0.96
Night,Monday,Clear,48.92,0.84,41.29,17.14,0.86
Evening Peak,Sunday,Cloudy,37.16,1.51,56.26,3.25,0.87
Morning Peak,Friday,Clear,51.62,1.42,73.43,32.4,0.92
Evening Peak,Tuesday,Clear,15.58,1.5,23.29,17.06,0.46
Evening Peak,Saturday,Clear,56.03,1.38,77.43,14.54,0.78
Morning Peak,Wednesday,Cloudy,56.75,1.79,101.75,16.84,0.82
Evening Peak,Thursday,Clear,17.77,1.43,25.44,31.95,0.33
Morning Peak,Monday,Rainy,11.69,1.62,24.33,24.69,0.7
Morning Peak,Monday,Cloudy,59.49,1.48,88.29,10.73,0.81
Night,Thursday,Cloudy,34.11,1.02,34.81,7.67,0.51
Midday,Friday,Rainy,38.6,1.15,50.43,54.71,0.89
Midday,Thursday,Clear,40.8,1.01,41.02,9.36,0.91
Evening Peak,Tuesday,Clear,49.48,1.44,71.43,42.72,0.72
Evening Peak,Thursday,Stormy,50.6,1.53,113.15,26.08,0.38
Night,Monday,Rainy,19.7,0.87,19.68,12.21,0.96
Night,Thursday,Stormy,21.83,0.87,29.43,39.61,0.33
Night,Wednesday,Rainy,53.84,0.98,65.83,39.92,0.81
Morning Peak,Saturday,Clear,50.98,1.71,87.12,38.68,0.46
Night,Tuesday,Clear,40.88,0.87,35.77,12.75,0.78
Night,Thursday,Cloudy,59.73,1.08,64.49,44.59,0.95
Evening Peak,Monday,Clear,46.76,1.57,73.46,25.87,0.97
Night,Sunday,Clear,20.79,0.86,17.88,24.86,0.92
Morning Peak,Saturday,Rainy,52.33,1.43,94.43,4.76,0.56
Morning Peak,Tuesday,Clear,30.74,1.65,50.72,38.94,0.74
Evening Peak,Monday,Clear,11.81,1.58,18.66,5.14,0.88
Night,Friday,Rainy,26.07,1.01,34.03,25.63,0.79
Night,Wednesday,Rainy,48.18,0.93,51.56,31.26,0.6
Morning Peak,Friday,Clear,58.01,1.38,80.32,14.45,0.91
Night,Wednesday,Rainy,23.81,0.94,24.79,24.75,0.98
Night,Thursday,Rainy,22.33,0.98,25.39,40.4,0.77
Night,Tuesday,Clear,38.18,0.9,34.34,27.32,0.78
Midday,Thursday,Clear,50.58,1.15,58.33,10.17,0.77
Evening Peak,Wednesday,Clear,47.33,1.25,59.26,22.9,0.82
Midday,Wednesday,Cloudy,38.0,1.14,43.15,13.48,1.0
Evening Peak,Wednesday,Clear,41.57,1.24,51.39,31.26,0.88
Morning Peak,Saturday,Stormy,22.1,1.32,41.57,4.33,0.83
Night,Monday,Rainy,31.63,1.06,40.96,17.56,0.4
Evening Peak,Tuesday,Rainy,22.77,1.28,36.77,49.12,0.56
Midday,Thursday,Stormy,54.22,1.17,89.32,34.63,0.84
Night,Thursday,Rainy,15.63,0.84,15.77,3.12,0.94
Morning Peak,Friday,Clear,43.99,1.43,62.96,14.57,0.94
Evening Peak,Wednesday,Clear,23.01,1.34,30.94,17.17,0.79
Evening Peak,Sunday,Rainy,33.78,1.26,53.4,10.65,0.79
Evening Peak,Wednesday,Clear,24.97,1.22,30.42,5.11,1.0
Night,Wednesday,Clear,26.16,1.06,27.81,21.04,0.91
Midday,Sunday,Cloudy,23.02,1.0,23.1,9.79,0.81
Midday,Thursday,Rainy,47.64,1.02,55.55,35.43,0.76
Evening Peak,Friday,Clear,28.29,1.52,43.05,43.75,0.88
Morning Peak,Monday,Rainy,46.32,1.44,76.32,12.1,0.75
Morning Peak,Sunday,Clear,32.8,1.66,54.5,18.94,0.84
Midday,Saturday,Cloudy,37.36,1.04,39.0,38.3,0.97
Morning Peak,Tuesday,Clear,37.16,1.42,52.72,25.55,0.37
Midday,Sunday,Rainy,58.79,1.17,83.9,11.96,0.72
Evening Peak,Monday,Clear,28.35,1.6,45.24,40.06,0.62
Midday,Thursday,Rainy,20.38,1.02,24.73,29.95,0.54
Midday,Saturday,Clear,55.59,1.12,62.27,33.39,0.78
Evening Peak,Saturday,Clear,18.74,1.22,22.81,9.69,0.81
Morning Peak,Saturday,Clear,51.72,1.4,72.39,18.27,0.46
Midday,Wednesday,Clear,17.51,1.27,22.28,41.09,0.85
Midday,Tuesday,Clear,42.94,1.03,44.18,8.23,0.76
Evening Peak,Thursday,Clear,17.53,1.54,27.04,20.88,0.94
Morning Peak,Thursday,Rainy,56.15,1.39,100.59,13.96,0.91
Midday,Saturday,Cloudy,38.25,1.26,48.14,33.21,0.26
Evening Peak,Thursday,Clear,26.46,1.42,37.45,17.18,0.56
Midday,Tuesday,Rainy,17.02,1.26,25.18,3.0,0.9
Night,Tuesday,Clear,28.56,0.85,24.15,24.69,0.79
Evening Peak,Friday,Cloudy,45.25,1.5,68.09,21.05,0.76
Morning Peak,Sunday,Clear,29.25,1.64,47.98,7.08,0.75
Morning Peak,Sunday,Cloudy,22.3,1.57,35.05,5.76,0.76
Morning Peak,Friday,Clear,38.87,1.71,66.29,20.12,0.91
Morning Peak,Monday,Stormy,30.89,1.62,76.66,22.02,0.93
Midday,Sunday,Clear,18.29,1.26,23.1,17.85,0.86
Midday,Tuesday,Clear,17.7,1.11,19.72,8.73,0.9
Morning Peak,Tuesday,Clear,45.37,1.59,72.37,9.53,0.98
Morning Peak,Sunday,Rainy,58.73,1.74,124.0,7.17,1.0
Morning Peak,Tuesday,Cloudy,21.65,1.41,30.48,15.22,0.99
Midday,Friday,Rainy,48.66,1.15,61.93,12.5,0.84
Morning Peak,Saturday,Rainy,14.38,1.78,28.59,32.62,0.62
Morning Peak,Saturday,Rainy,29.08,1.54,50.97,66.1,0.74
Night,Thursday,Rainy,35.33,0.88,34.93,7.18,0.9
Night,Saturday,Clear,23.44,0.91,21.22,43.17,0.92
Morning Peak,Wednesday,Rainy,36.48,1.74,74.11,19.75,0.92
Evening Peak,Friday,Clear,54.13,1.58,85.63,2.71,0.75
Morning Peak,Tuesday,Rainy,57.22,1.78,123.49,23.05,0.97
Night,Sunday,Cloudy,15.03,1.01,15.17,44.88,0.85
Evening Peak,Saturday,Rainy,23.59,1.4,40.42,12.31,0.9
Evening Peak,Friday,Cloudy,58.96,1.27,75.06,3.3,0.72
Morning Peak,Saturday,Cloudy,23.52,1.36,32.03,6.52,0.83
Night,Monday,Stormy,44.64,0.82,53.9,5.54,0.6
Night,Tuesday,Clear,22.67,0.81,18.26,12.73,0.92
Evening Peak,Monday,Clear,27.82,1.55,43.15,38.89,0.9
Morning Peak,Tuesday,Cloudy,19.56,1.7,33.35,51.35,0.8
Midday,Friday,Stormy,52.82,1.17,82.54,26.98,0.45
Midday,Thursday,Clear,54.13,1.3,70.35,22.09,0.74
Night,Saturday,Clear,24.85,1.09,26.98,8.04,0.8
Midday,Saturday,Clear,51.18,1.2,61.24,26.42,0.89
Night,Wednesday,Clear,27.91,0.94,26.22,17.15,0.88
Night,Sunday,Rainy,14.95,0.85,15.43,8.64,0.88
Night,Monday,Rainy,47.9,0.95,54.05,42.32,0.82
Midday,Saturday,Cloudy,39.82,1.05,41.71,31.38,0.18
Night,Friday,Cloudy,23.72,0.92,21.81,36.16,0.87
Evening Peak,Thursday,Rainy,22.65,1.58,45.74,49.81,0.51
Morning Peak,Sunday,Clear,58.78,1.47,86.47,35.34,0.35
Morning Peak,Friday,Clear,53.13,1.38,73.12,21.01,0.97
Night,Monday,Clear,50.49,0.97,49.21,21.18,0.88
Morning Peak,Wednesday,Clear,16.4,1.6,26.26,6.76,0.94
Midday,Saturday,Clear,47.76,1.06,50.54,30.07,0.26
Midday,Friday,Clear,20.73,1.06,21.95,11.14,0.73
Morning Peak,Sunday,Clear,58.87,1.79,105.66,45.58,0.97
Midday,Tuesday,Clear,12.6,1.07,13.52,34.28,0.39
Morning Peak,Thursday,Rainy,27.61,1.72,60.86,9.92,0.77
Morning Peak,Sunday,Clear,31.43,1.54,48.25,40.38,0.3
Morning Peak,Friday,Rainy,51.21,1.52,97.42,14.43,0.8
Night,Thursday,Clear,48.31,0.89,42.92,41.48,0.46
Morning Peak,Saturday,Rainy,28.75,1.69,60.17,23.75,0.94
Night,Tuesday,Rainy,38.28,1.06,45.75,4.91,0.86
Morning Peak,Wednesday,Rainy,51.78,1.43,82.74,11.94,1.0
Morning Peak,Sunday,Rainy,10.91,1.35,18.64,9.75,0.4
Morning Peak,Wednesday,Clear,50.11,1.37,68.57,24.81,1.0
Midday,Tuesday,Clear,57.34,1.24,70.98,27.04,0.9
Night,Thursday,Clear,11.6,0.93,10.8,25.88,0.98
Night,Saturday,Clear,12.28,0.84,10.31,17.67,0.92
Morning Peak,Friday,Clear,27.23,1.47,40.03,27.59,0.75
Morning Peak,Tuesday,Rainy,14.39,1.56,26.56,18.26,0.9
Midday,Monday,Cloudy,33.96,1.26,42.65,38.54,0.9
Midday,Thursday,Cloudy,46.44,1.19,55.38,9.82,0.92
Midday,Wednesday,Rainy,38.34,1.05,48.05,14.25,0.88
Night,Sunday,Cloudy,19.82,0.85,16.8,40.36,0.52
Night,Tuesday,Cloudy,42.74,0.92,39.48,0.5,0.86
Night,Wednesday,Rainy,44.24,0.82,46.2,0.8,0.79
Morning Peak,Thursday,Clear,56.62,1.68,95.0,9.83,0.99
Night,Wednesday,Clear,17.34,0.92,15.96,70.34,0.94
Evening Peak,Tuesday,Stormy,44.62,1.34,88.68,1.15,0.88
Evening Peak,Thursday,Rainy,55.57,1.4,88.6,26.93,0.29
Midday,Monday,Rainy,35.08,1.21,48.59,19.8,0.86
Night,Tuesday,Clear,28.09,0.97,27.27,13.71,0.82
Evening Peak,Friday,Rainy,18.54,1.52,31.05,20.34,0.95
Midday,Saturday,Clear,53.34,1.19,63.41,38.4,0.58
Night,Tuesday,Clear,29.71,1.04,30.79,10.64,0.28
Morning Peak,Thursday,Clear,56.24,1.65,92.71,21.02,0.82
Evening Peak,Sunday,Clear,52.39,1.28,66.91,22.76,0.77
Morning Peak,Saturday,Clear,28.83,1.33,38.24,28.34,0.99
Night,Tuesday,Clear,38.7,1.07,41.44,26.03,0.58
Evening Peak,Monday,Clear,11.36,1.58,17.93,4.03,0.97
Night,Sunday,Clear,23.16,1.02,23.58,32.39,0.69
Morning Peak,Monday,Rainy,45.51,1.66,93.97,4.97,0.91
Evening Peak,Friday,Cloudy,43.9,1.31,57.42,4.4,0.91
Morning Peak,Sunday,Clear,27.67,1.57,43.47,14.05,1.0
Night,Wednesday,Clear,50.43,1.1,55.36,22.02,0.84
Night,Sunday,Cloudy,21.79,1.06,23.03,44.16,0.96
Morning Peak,Saturday,Cloudy,33.06,1.45,48.01,35.88,0.9
Evening Peak,Sunday,Clear,33.63,1.32,44.4,5.65,0.27
Morning Peak,Thursday,Cloudy,27.04,1.54,41.69,15.74,0.89
Night,Thursday,Stormy,57.73,0.92,76.9,4.08,0.86
Morning Peak,Wednesday,Clear,44.83,1.49,66.6,24.19,0.8
Night,Sunday,Clear,36.96,0.99,36.52,3.16,0.95
Morning Peak,Monday,Clear,35.53,1.31,46.39,12.96,0.33
Evening Peak,Monday,Cloudy,17.96,1.51,27.04,10.37,0.85
Evening Peak,Tuesday,Clear,28.61,1.5,42.8,24.7,0.94
Morning Peak,Friday,Clear,43.64,1.72,74.85,11.08,0.89
Morning Peak,Saturday,Clear,56.23,1.72,96.75,29.84,0.49
Evening Peak,Friday,Stormy,50.82,1.43,114.92,18.75,0.83
Night,Sunday,Rainy,25.02,1.03,32.15,20.95,0.51
Evening Peak,Friday,Cloudy,31.7,1.4,44.28,12.24,0.93
Night,Tuesday,Rainy,14.15,1.09,17.21,7.61,0.48
Morning Peak,Friday,Clear,15.11,1.4,21.08,27.76,0.76
Morning Peak,Wednesday,Rainy,33.51,1.76,66.7,7.84,0.8
Night,Tuesday,Cloudy,36.51,0.88,32.04,12.48,0.96
Morning Peak,Wednesday,Clear,23.2,1.35,31.35,24.67,0.85
Night,Sunday,Rainy,42.14,0.93,47.13,19.94,0.98
Midday,Tuesday,Rainy,45.17,1.18,68.75,5.4,0.86
Evening Peak,Sunday,Rainy,24.96,1.29,37.07,8.56,0.81
Midday,Sunday,Clear,47.92,1.17,55.91,59.38,0.82
Night,Friday,Stormy,20.28,1.04,32.72,22.9,0.97
Evening Peak,Wednesday,Stormy,37.21,1.3,67.57,2.81,0.87
Night,Sunday,Clear,50.21,0.97,48.91,18.85,0.58
Evening Peak,Wednesday,Clear,36.85,1.34,49.22,33.37,0.92
Evening Peak,Wednesday,Clear,55.4,1.41,78.22,8.3,1.0
Evening Peak,Tuesday,Stormy,12.93,1.47,26.18,6.93,0.75
Evening Peak,Thursday,Cloudy,39.42,1.34,52.82,20.26,0.98
Night,Friday,Clear,38.09,1.1,41.83,17.9,0.81
Evening Peak,Sunday,Clear,43.02,1.43,61.32,10.04,0.22
Evening Peak,Wednesday,Clear,51.67,1.53,79.04,39.29,0.85
Midday,Saturday,Cloudy,46.29,1.22,56.36,19.73,1.0
Morning Peak,Thursday,Clear,49.51,1.73,85.48,15.43,0.73
Morning Peak,Sunday,Stormy,24.44,1.39,53.23,14.16,0.96
Midday,Saturday,Cloudy,29.37,1.07,31.34,5.07,0.89
Midday,Friday,Rainy,41.34,1.15,52.57,0.67,0.84
Night,Friday,Clear,37.67,1.06,39.77,5.12,1.0
Night,Wednesday,Clear,58.06,0.86,49.89,49.99,0.91
Night,Wednesday,Clear,19.34,1.09,21.11,9.17,0.95
Midday,Sunday,Clear,27.56,1.04,28.62,36.08,0.47
Midday,Tuesday,Clear,38.64,1.05,40.67,7.0,0.96
Evening Peak,Thursday,Stormy,53.4,1.27,101.35,29.68,0.39
Night,Sunday,Clear,56.47,0.98,55.1,18.39,0.83
Night,Thursday,Clear,26.8,1.08,28.82,27.8,0.57
Night,Wednesday,Clear,13.36,0.88,11.71,11.68,0.82
Morning Peak,Friday,Clear,31.08,1.58,49.0,24.23,1.0
Evening Peak,Wednesday,Stormy,29.72,1.27,49.56,18.41,0.83
Night,Friday,Clear,59.32,0.99,58.69,38.56,0.77
Night,Sunday,Clear,31.55,0.84,26.41,47.95,0.87
Night,Friday,Cloudy,25.29,0.95,23.96,11.89,0.87
Morning Peak,Wednesday,Clear,28.27,1.63,46.01,21.77,0.88
Morning Peak,Monday,Clear,29.85,1.59,47.44,12.83,0.76
Midday,Thursday,Clear,51.08,1.04,53.22,22.83,0.83
Evening Peak,Saturday,Clear,14.05,1.26,17.77,26.46,0.81
Midday,Friday,Clear,25.83,1.2,31.03,37.98,0.36
Evening Peak,Friday,Clear,58.32,1.52,88.85,27.08,1.0
Morning Peak,Monday,Rainy,17.66,1.75,39.02,23.04,1.0
Night,Sunday,Clear,47.13,1.04,49.21,42.07,0.5
Midday,Sunday,Rainy,27.82,1.29,45.51,26.25,0.46
Night,Sunday,Rainy,39.09,0.92,46.11,32.3,0.88
Midday,Saturday,Cloudy,14.98,1.1,16.47,6.2,0.93
Morning Peak,Tuesday,Clear,25.32,1.31,33.27,5.48,0.98
Morning Peak,Monday,Clear,35.04,1.52,53.44,21.57,0.87
Morning Peak,Saturday,Rainy,21.59,1.63,39.91,35.25,0.99
Midday,Monday,Cloudy,37.09,1.24,46.17,31.66,0.96
Evening Peak,Friday,Cloudy,20.99,1.31,27.43,9.74,0.87
Midday,Thursday,Clear,42.51,1.15,49.05,21.99,1.0
Evening Peak,Monday,Rainy,55.22,1.46,90.99,25.99,0.58
Midday,Tuesday,Clear,14.27,1.17,16.64,3.3,0.71
Midday,Wednesday,Clear,20.83,1.08,22.54,27.88,0.28
Morning Peak,Saturday,Clear,52.22,1.7,88.68,17.78,0.32
Night,Monday,Clear,41.58,0.85,35.42,20.28,1.0
Night,Monday,Clear,13.94,1.07,14.93,20.85,0.97
Evening Peak,Tuesday,Rainy,34.32,1.58,65.15,17.2,0.85
Night,Thursday,Rainy,20.49,0.91,21.51,21.13,0.87
Midday,Monday,Rainy,19.95,1.11,27.12,14.13,0.92
Midday,Monday,Clear,57.03,1.22,69.75,13.25,0.77
Morning Peak,Thursday,Cloudy,48.08,1.53,73.47,10.46,0.84
Morning Peak,Tuesday,Clear,44.81,1.31,58.9,13.86,0.87
Night,Saturday,Clear,21.95,1.08,23.61,16.27,0.95
Evening Peak,Saturday,Clear,15.93,1.37,21.86,6.47,0.95
Night,Monday,Clear,53.54,0.86,46.1,3.22,0.88
Night,Thursday,Clear,10.29,0.97,9.95,22.23,0.96
Night,Monday,Clear,29.4,0.87,25.45,2.58,0.87
Night,Sunday,Cloudy,23.88,0.86,20.58,20.57,0.89
Midday,Wednesday,Rainy,38.52,1.16,53.91,15.29,0.76
Evening Peak,Saturday,Clear,22.53,1.36,30.55,11.32,0.87
Midday,Sunday,Stormy,25.56,1.17,40.24,10.84,0.93
Evening Peak,Friday,Rainy,52.5,1.6,104.74,23.46,0.96
Morning Peak,Wednesday,Cloudy,40.16,1.73,69.46,14.94,1.0
Night,Monday,Cloudy,17.28,0.8,13.87,26.29,0.48
Midday,Tuesday,Clear,46.32,1.02,47.03,33.38,0.55
Evening Peak,Saturday,Rainy,20.37,1.44,37.09,15.57,0.8
Morning Peak,Friday,Cloudy,31.65,1.61,51.06,36.46,0.89
Morning Peak,Wednesday,Stormy,42.33,1.74,116.97,14.35,0.96
Night,Saturday,Cloudy,23.6,0.99,23.33,21.75,0.99
Evening Peak,Thursday,Rainy,29.21,1.29,44.46,32.06,0.49
Midday,Tuesday,Rainy,46.71,1.14,62.2,40.4,0.93
Night,Wednesday,Clear,56.9,1.04,59.32,22.21,0.98
Midday,Thursday,Clear,36.46,1.28,46.56,19.79,0.81
Morning Peak,Sunday,Clear,10.5,1.42,14.89,43.03,0.8
Midday,Monday,Clear,26.92,1.16,31.28,9.66,0.83
Midday,Thursday,Clear,29.93,1.05,31.36,11.12,0.99
Night,Wednesday,Rainy,26.96,0.95,29.13,21.7,0.95
Midday,Wednesday,Cloudy,31.81,1.03,32.67,22.81,0.84
Night,Sunday,Stormy,41.63,1.08,61.03,22.85,0.87
Morning Peak,Monday,Rainy,16.06,1.62,30.26,38.1,0.36
Night,Thursday,Cloudy,23.63,1.06,24.96,23.51,0.93
Night,Thursday,Rainy,35.38,1.1,50.43,3.31,0.86
Evening Peak,Monday,Cloudy,25.78,1.27,32.82,12.65,0.96
Midday,Thursday,Rainy,59.55,1.21,80.48,21.49,0.88
Morning Peak,Saturday,Clear,31.57,1.74,55.04,49.79,0.88
Night,Monday,Clear,53.49,0.97,52.03,1.96,0.86
Morning Peak,Tuesday,Clear,54.83,1.62,88.81,10.5,0.55
Evening Peak,Wednesday,Cloudy,51.8,1.36,70.61,20.58,0.95
Midday,Tuesday,Cloudy,12.34,1.2,14.84,22.68,0.89
Night,Saturday,Clear,57.39,0.92,52.72,25.38,0.92
Midday,Sunday,Clear,16.44,1.14,18.79,3.26,1.0
Evening Peak,Saturday,Rainy,11.72,1.24,16.76,23.99,0.82
Evening Peak,Friday,Cloudy,30.72,1.2,36.96,52.36,0.71
Morning Peak,Friday,Clear,19.73,1.33,26.2,29.44,0.27
Night,Friday,Cloudy,19.21,0.86,16.48,27.47,0.32
Morning Peak,Monday,Rainy,24.39,1.53,41.65,14.09,0.82
Evening Peak,Thursday,Stormy,22.42,1.21,37.44,15.72,0.89
Midday,Saturday,Clear,44.24,1.05,46.31,15.05,0.95
Morning Peak,Tuesday,Clear,19.34,1.69,32.7,43.59,0.41
Morning Peak,Sunday,Clear,37.16,1.68,62.46,21.47,0.89
Midday,Tuesday,Clear,59.32,1.24,73.38,31.03,0.81
Morning Peak,Tuesday,Rainy,31.62,1.76,62.27,22.88,0.98
Midday,Tuesday,Clear,42.09,1.04,43.6,40.07,0.76
Night,Sunday,Stormy,58.47,0.85,72.1,10.5,0.96
Midday,Friday,Clear,16.88,1.1,18.57,25.09,0.37
Night,Tuesday,Stormy,30.93,1.07,47.58,31.18,0.9
Midday,Sunday,Clear,52.51,1.23,64.73,44.59,0.9
Evening Peak,Sunday,Rainy,56.62,1.33,85.43,11.76,0.91
Evening Peak,Thursday,Rainy,40.06,1.24,56.16,21.97,1.0
Night,Sunday,Stormy,17.17,0.98,25.16,16.88,0.96
Night,Friday,Clear,55.07,0.88,48.3,11.64,0.87
Evening Peak,Tuesday,Clear,18.72,1.41,26.44,42.83,0.56
Night,Sunday,Cloudy,27.64,1.08,29.93,28.07,0.94
Midday,Monday,Clear,28.78,1.17,33.72,23.88,0.89
Midday,Sunday,Clear,32.36,1.28,41.33,8.02,0.92
Evening Peak,Wednesday,Clear,49.51,1.36,67.19,31.51,0.49
Morning Peak,Wednesday,Cloudy,50.11,1.62,81.01,41.79,0.9
Midday,Wednesday,Cloudy,45.98,1.27,58.31,0.91,0.76
Night,Sunday,Clear,11.11,0.98,10.84,28.75,0.19
Morning Peak,Friday,Clear,38.24,1.61,61.47,8.31,0.88
Morning Peak,Tuesday,Clear,47.37,1.66,78.55,19.39,0.75
Midday,Saturday,Cloudy,32.23,1.26,40.76,16.99,0.8
Midday,Saturday,Clear,57.25,1.03,58.76,21.98,0.88
Morning Peak,Saturday,Clear,51.19,1.47,75.17,21.51,0.89
Morning Peak,Friday,Rainy,41.91,1.5,73.96,55.02,0.37
Evening Peak,Thursday,Stormy,13.12,1.56,27.02,42.15,0.97
Night,Monday,Stormy,42.62,1.09,73.0,0.5,0.78
Evening Peak,Monday,Rainy,55.58,1.25,81.93,22.34,0.89
Midday,Wednesday,Clear,28.97,1.04,30.01,35.38,0.41
Evening Peak,Wednesday,Cloudy,51.91,1.57,81.7,7.66,0.82
Evening Peak,Sunday,Clear,25.66,1.32,33.83,11.88,0.91
Evening Peak,Saturday,Cloudy,38.51,1.3,49.93,39.91,0.31
Evening Peak,Sunday,Clear,42.42,1.21,51.51,18.09,0.78
Night,Saturday,Cloudy,43.9,0.88,38.75,10.77,0.86
Night,Wednesday,Cloudy,54.13,1.01,54.56,15.11,0.99
Morning Peak,Tuesday,Clear,21.73,1.51,32.88,27.42,0.49
Midday,Thursday,Rainy,23.12,1.16,32.53,35.47,0.89
Evening Peak,Sunday,Clear,45.2,1.57,70.83,14.92,0.74
Morning Peak,Thursday,Clear,18.86,1.36,25.6,27.33,0.48
Morning Peak,Thursday,Clear,33.21,1.34,44.36,26.42,0.2
Morning Peak,Thursday,Clear,11.0,1.73,18.99,18.52,0.82
Night,Wednesday,Clear,17.05,1.03,17.6,2.06,0.88
Evening Peak,Monday,Rainy,43.94,1.31,73.26,27.09,0.69
Evening Peak,Wednesday,Clear,47.37,1.33,62.99,17.28,0.82
Midday,Thursday,Clear,15.77,1.09,17.23,28.69,0.98
Evening Peak,Wednesday,Clear,21.39,1.46,31.2,35.33,0.56
Evening Peak,Thursday,Cloudy,14.95,1.22,18.3,16.09,0.89
Morning Peak,Friday,Rainy,31.67,1.54,57.75,11.59,0.91
Midday,Saturday,Cloudy,16.31,1.04,16.96,3.74,1.0
Evening Peak,Monday,Rainy,31.86,1.53,61.55,17.89,0.86
Night,Friday,Rainy,46.6,0.91,54.66,27.08,0.93
Evening Peak,Tuesday,Rainy,44.17,1.41,70.73,26.84,0.52
Morning Peak,Wednesday,Cloudy,24.02,1.31,31.58,3.15,0.98
Night,Tuesday,Clear,43.69,0.82,35.71,12.89,0.74
Morning Peak,Sunday,Cloudy,56.39,1.64,92.33,9.29,0.49
Evening Peak,Wednesday,Cloudy,27.38,1.51,41.25,23.24,0.94
Night,Saturday,Rainy,26.46,1.01,34.26,5.44,0.86
Midday,Friday,Rainy,38.57,1.22,52.94,16.18,0.85
Midday,Saturday,Rainy,22.28,1.03,26.54,5.97,0.74
Night,Sunday,Rainy,42.58,1.01,54.15,5.95,0.82
Night,Thursday,Clear,51.61,0.85,44.1,14.72,0.95
Morning Peak,Saturday,Clear,32.97,1.35,44.47,17.81,0.91
Night,Saturday,Clear,43.98,1.03,45.17,9.72,0.85
Morning Peak,Thursday,Rainy,42.59,1.74,95.13,22.24,0.83
Evening Peak,Wednesday,Rainy,11.93,1.49,21.94,10.51,0.91
Morning Peak,Thursday,Cloudy,19.17,1.7,32.64,7.13,0.84
Night,Friday,Rainy,54.68,1.1,67.26,29.07,0.36
Night,Saturday,Rainy,56.94,0.84,57.65,43.96,0.8
Evening Peak,Thursday,Rainy,49.02,1.59,94.43,22.41,0.74
Night,Sunday,Rainy,56.06,0.98,63.56,26.47,0.65
Night,Sunday,Cloudy,25.31,1.04,26.42,0.8,0.93
Midday,Saturday,Cloudy,22.39,1.2,26.75,9.55,1.0
Midday,Friday,Clear,29.22,1.17,34.21,34.35,0.71
Evening Peak,Tuesday,Cloudy,12.77,1.48,18.91,35.25,0.55
Morning Peak,Friday,Clear,50.49,1.46,73.73,38.6,0.39
Midday,Monday,Clear,59.21,1.28,75.63,24.39,0.83
Morning Peak,Monday,Rainy,51.2,1.36,90.25,15.94,0.83
Night,Monday,Cloudy,37.75,0.9,33.8,16.02,0.93
Midday,Saturday,Stormy,24.76,1.01,35.01,5.44,0.79
Evening Peak,Sunday,Clear,19.88,1.31,26.02,39.36,0.94
Evening Peak,Wednesday,Clear,28.2,1.29,36.31,31.95,0.75
Evening Peak,Sunday,Clear,43.35,1.22,52.88,13.19,0.94
Midday,Wednesday,Clear,32.35,1.15,37.13,8.81,0.48
Morning Peak,Wednesday,Clear,56.7,1.53,87.0,43.17,1.0
Night,Sunday,Clear,52.71,0.82,43.4,39.55,0.9
Morning Peak,Saturday,Clear,15.12,1.43,21.64,22.74,0.85
Morning Peak,Friday,Clear,16.58,1.78,29.45,29.27,0.38
Night,Wednesday,Clear,43.81,0.83,36.51,44.22,0.81
Night,Tuesday,Rainy,21.54,0.89,21.93,41.4,0.33
Midday,Sunday,Clear,49.55,1.01,50.08,5.53,0.95
Midday,Sunday,Cloudy,39.57,1.04,41.34,28.85,0.34
Midday,Monday,Rainy,21.49,1.21,29.17,18.94,0.77
Midday,Friday,Clear,33.93,1.11,37.67,28.78,0.89
